slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_playerslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
abrinal01,Álex Abrines,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2abrinal01,Álex Abrines,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,31,2,588,56,157,41,127,12,13,5,43,20,17,6,14,53
acyqu01,Quincy Acy,POWER FORWARD,28,PHOENIX SUNS,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022,-5.7,-0.3,-5.9,-0.1acyqu01,Quincy Acy,POWER FORWARD,28,PHOENIX SUNS,10,0,123,4,18,2,15,7,10,3,22,8,1,4,4,24
adamsja01,Jaylen Adams,POINT GUARD,22,ATLANTA HAWKS,34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.011,-3.1,-1.3,-4.4,-0.3adamsja01,Jaylen Adams,POINT GUARD,22,ATLANTA HAWKS,34,1,428,38,110,25,74,7,9,11,49,65,14,5,28,45
adamsst01,Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.6,2.1,2.7,3.2adamsst01,Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,80,80,2669,481,809,0,2,146,292,391,369,124,117,76,135,204
adebaba01,Bam Adebayo,CENTER,21,MIAMI HEAT,82,1913,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3.0,2.4adebaba01,Bam Adebayo,CENTER,21,MIAMI HEAT,82,28,1913,280,486,3,15,166,226,165,432,184,71,65,121,203
adelde01,Deng Adel,SMALL FORWARD,21,CLEVELAND CAVALIERS,19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0.0,-0.2,-0.054,-5.3,-2.0,-7.3,-0.3adelde01,Deng Adel,SMALL FORWARD,21,CLEVELAND CAVALIERS,19,3,194,11,36,6,23,4,4,3,16,5,1,4,6,13
akoonde01,DeVaughn Akoon-Purcell,SHOOTING GUARD,25,DENVER NUGGETS,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-4.4,0.8,-3.6,0.0akoonde01,DeVaughn Akoon-Purcell,SHOOTING GUARD,25,DENVER NUGGETS,7,0,22,3,10,0,4,1,2,1,3,6,2,0,2,4
aldrila01,LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,1.2,0.5,1.6,2.5aldrila01,LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,81,81,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179
alkinra01,Rawle Alkins,SHOOTING GUARD,21,CHICAGO BULLS,10,120,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,-0.1,0.0,-0.1,-0.042,-4.1,-2.5,-6.5,-0.1alkinra01,Rawle Alkins,SHOOTING GUARD,21,CHICAGO BULLS,10,1,120,13,39,3,12,8,12,11,15,13,1,0,8,7
allengr01,Grayson Allen,SHOOTING GUARD,23,UTAH JAZZ,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,0.002,-3.7,-3.1,-6.8,-0.5allengr01,Grayson Allen,SHOOTING GUARD,23,UTAH JAZZ,38,2,416,67,178,32,99,45,60,3,20,25,6,6,33,47
allenja01,Jarrett Allen,CENTER,20,BROOKLYN NETS,80,2096,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4allenja01,Jarrett Allen,CENTER,20,BROOKLYN NETS,80,80,2096,335,568,6,45,197,278,191,481,110,43,120,103,184
allenka01,Kadeem Allen,SHOOTING GUARD,26,NEW YORK KNICKS,19,416,16.2,0.574,0.255,0.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1.0,0.111,0.5,-1.6,-1.1,0.1allenka01,Kadeem Allen,SHOOTING GUARD,26,NEW YORK KNICKS,19,1,416,65,141,17,36,42,54,8,43,76,16,4,26,46
aminual01,Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.8,0.9,1.7aminual01,Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,81,81,2292,257,593,96,280,150,173,112,498,104,68,33,72,143
anderju01,Justin Anderson,SMALL FORWARD,25,ATLANTA HAWKS,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.6,-0.7,-3.2,-0.1anderju01,Justin Anderson,SMALL FORWARD,25,ATLANTA HAWKS,48,4,463,64,157,24,77,26,35,24,60,23,22,13,23,48
anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-2.1,3.3,1.2,1.0anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112
