slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
adamsst01,Steven Adams,CENTER,26,OKLAHOMA CITY THUNDER,63,1680,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Falseadamsst01,Steven Adams,CENTER,26,OKLAHOMA CITY THUNDER,63,63,1680,283,478,1,3,117,201,207,376,146,51,67,94,122,684
adebaba01,Bam Adebayo,POWER FORWARD,22,MIAMI HEAT,72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,Falseadebaba01,Bam Adebayo,POWER FORWARD,22,MIAMI HEAT,72,72,2417,440,790,2,14,264,382,176,559,368,82,93,204,182,1146
aldrila01,LaMarcus Aldridge,CENTER,34,SAN ANTONIO SPURS,53,1754,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,Falsealdrila01,LaMarcus Aldridge,CENTER,34,SAN ANTONIO SPURS,53,53,1754,391,793,61,157,158,191,103,289,129,36,87,74,128,1001
alexaky01,Kyle Alexander,CENTER,23,MIAMI HEAT,2,13,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,0.0,0.0,0.0,-0.003,-6.1,-3.5,-9.6,0.0,Falsealexaky01,Kyle Alexander,CENTER,23,MIAMI HEAT,2,0,13,1,2,0,0,0,0,2,1,0,0,0,1,1,2
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,21,NEW ORLEANS PELICANS,47,591,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,Falsealexani01,Nickeil Alexander-Walker,SHOOTING GUARD,21,NEW ORLEANS PELICANS,47,1,591,98,266,46,133,25,37,9,75,89,17,8,54,57,267
allengr01,Grayson Allen,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,Falseallengr01,Grayson Allen,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,38,0,718,117,251,57,141,39,45,8,77,52,10,2,33,53,330
allenja01,Jarrett Allen,CENTER,21,BROOKLYN NETS,70,1852,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,Falseallenja01,Jarrett Allen,CENTER,21,BROOKLYN NETS,70,64,1852,302,465,0,6,171,270,216,455,110,40,92,77,162,775
allenka01,Kadeem Allen,POINT GUARD,27,NEW YORK KNICKS,10,117,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0.0,Falseallenka01,Kadeem Allen,POINT GUARD,27,NEW YORK KNICKS,10,0,117,19,44,5,16,7,11,2,7,21,5,2,8,7,50
aminual01,Al-Farouq Aminu,POWER FORWARD,29,ORLANDO MAGIC,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,Falseaminual01,Al-Farouq Aminu,POWER FORWARD,29,ORLANDO MAGIC,18,2,380,25,86,9,36,19,29,24,63,21,18,8,17,27,78
anderju01,Justin Anderson,SHOOTING GUARD,26,BROOKLYN NETS,10,107,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,Falseanderju01,Justin Anderson,SHOOTING GUARD,26,BROOKLYN NETS,10,1,107,10,38,6,29,2,4,1,20,8,0,6,4,13,28
anderky01,Kyle Anderson,SMALL FORWARD,26,MEMPHIS GRIZZLIES,67,1330,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Falseanderky01,Kyle Anderson,SMALL FORWARD,26,MEMPHIS GRIZZLIES,67,28,1330,157,331,24,85,52,78,58,227,162,54,37,66,111,390
anderry01,Ryan Anderson,CENTER,31,HOUSTON ROCKETS,2,14,9.4,0.357,0.714,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037,-3.3,0.5,-2.8,0.0,Falseanderry01,Ryan Anderson,CENTER,31,HOUSTON ROCKETS,2,0,14,2,7,1,5,0,0,0,7,2,1,0,1,1,5
