Name,Position,Score
LeBron James,POINT GUARD,3397.70885
James Harden,SHOOTING GUARD,3273.1813
Damian Lillard,POINT GUARD,3192.67135
Giannis Antetokounmpo,POWER FORWARD,3076.5556500000002
Nikola Jokić,CENTER,3053.99525
Luka Dončić,POINT GUARD,3045.33425
CJ McCollum,SHOOTING GUARD,2730.69205
Trae Young,POINT GUARD,2708.25475
Devin Booker,SHOOTING GUARD,2689.2309
Tobias Harris,POWER FORWARD,2579.6228
Donovan Mitchell,SHOOTING GUARD,2530.1229
Nikola Vučević,CENTER,2527.51245
Chris Paul,POINT GUARD,2522.2955
Jayson Tatum,POWER FORWARD,2471.42335
Bradley Beal,SHOOTING GUARD,2460.82895
Russell Westbrook,POINT GUARD,2444.2418
Bam Adebayo,POWER FORWARD,2425.9999
Domantas Sabonis,POWER FORWARD,2410.1493
DeMar DeRozan,SMALL FORWARD,2394.17515
Kawhi Leonard,SMALL FORWARD,2359.67445
Devonte' Graham,POINT GUARD,2347.7968499999997
Anthony Davis,POWER FORWARD,2342.9804999999997
Buddy Hield,SHOOTING GUARD,2336.5033000000003
Jrue Holiday,SHOOTING GUARD,2302.3618500000002
Khris Middleton,SMALL FORWARD,2269.47095
Ricky Rubio,POINT GUARD,2253.60675
Brandon Ingram,POWER FORWARD,2248.14935
Ja Morant,POINT GUARD,2247.8478
Zach LaVine,SHOOTING GUARD,2231.4634
Pascal Siakam,POWER FORWARD,2218.3777
Spencer Dinwiddie,POINT GUARD,2210.65205
Shai Gilgeous-Alexander,SHOOTING GUARD,2203.4784
Kyle Lowry,POINT GUARD,2187.4745000000003
Jonas Valančiūnas,CENTER,2176.3065500000002
Hassan Whiteside,CENTER,2125.5922
Julius Randle,POWER FORWARD,2108.1769
Lonzo Ball,POINT GUARD,2103.22585
Ben Simmons,POINT GUARD,2087.6601
Al Horford,CENTER,2085.5968000000003
Rudy Gobert,CENTER,2084.44495
Terry Rozier,POINT GUARD,2063.86765
Kristaps Porziņģis,CENTER,2020.0475500000002
Nemanja Bjelica,POWER FORWARD,2008.3301000000001
Kemba Walker,POINT GUARD,2003.03375
T.J. Warren,SMALL FORWARD,1998.3505
Evan Fournier,SMALL FORWARD,1983.30975
Jimmy Butler,SMALL FORWARD,1976.81925
Jamal Murray,POINT GUARD,1975.7629500000003
Fred VanVleet,SHOOTING GUARD,1962.83765
Tim Hardaway Jr.,SHOOTING GUARD,1961.97905
Aaron Gordon,POWER FORWARD,1951.8808
Kevin Love,POWER FORWARD,1935.6349500000001
Duncan Robinson,SHOOTING GUARD,1933.0442000000003
Dillon Brooks,SHOOTING GUARD,1931.1504999999997
Joe Harris,SMALL FORWARD,1925.7253
Collin Sexton,POINT GUARD,1918.623
Malcolm Brogdon,POINT GUARD,1915.66705
Harrison Barnes,POWER FORWARD,1901.7037
Markelle Fultz,POINT GUARD,1899.15585
Kendrick Nunn,POINT GUARD,1897.7017
Joe Ingles,POWER FORWARD,1894.2597500000002
Danilo Gallinari,POWER FORWARD,1886.5056
Will Barton,SMALL FORWARD,1870.3224500000001
Eric Bledsoe,POINT GUARD,1853.5135500000001
Jaylen Brown,SHOOTING GUARD,1836.9241499999998
Bojan Bogdanović,SMALL FORWARD,1830.7501499999998
Lou Williams,POINT GUARD,1826.2973000000002
Dennis Schröder,SHOOTING GUARD,1818.19375
Joel Embiid,CENTER,1802.2245000000003
De'Aaron Fox,POINT GUARD,1799.7078999999999
Gordon Hayward,SMALL FORWARD,1789.16475
Jarrett Allen,CENTER,1777.6382
LaMarcus Aldridge,CENTER,1756.21855
