Name,Position,Score
James Harden,POINT GUARD,3903.7008000000005
Russell Westbrook,POINT GUARD,3711.6650499999996
Nikola Jokić,CENTER,3455.60445
Kemba Walker,POINT GUARD,3435.7979
Damian Lillard,POINT GUARD,3423.2594
Paul George,SMALL FORWARD,3375.85915
Bradley Beal,SHOOTING GUARD,3354.72905
Nikola Vučević,CENTER,3349.60365
Giannis Antetokounmpo,POWER FORWARD,3247.6772
D'Angelo Russell,POINT GUARD,3245.84665
Kevin Durant,SMALL FORWARD,3202.04155
Karl-Anthony Towns,CENTER,3154.8811
Stephen Curry,POINT GUARD,3135.7620500000003
Blake Griffin,POWER FORWARD,2980.5390500000003
Ben Simmons,POINT GUARD,2972.2141
Kyrie Irving,POINT GUARD,2917.1246
Trae Young,POINT GUARD,2885.8719499999997
Buddy Hield,SHOOTING GUARD,2863.68435
DeMar DeRozan,SHOOTING GUARD,2803.7771000000002
LaMarcus Aldridge,CENTER,2770.6038
Andre Drummond,CENTER,2765.61775
Luka Dončić,SHOOTING GUARD,2753.25725
De'Aaron Fox,POINT GUARD,2747.8472
Klay Thompson,SHOOTING GUARD,2740.8485499999997
Donovan Mitchell,SHOOTING GUARD,2733.13685
Jrue Holiday,SHOOTING GUARD,2724.95775
LeBron James,SMALL FORWARD,2686.1693999999998
Khris Middleton,SMALL FORWARD,2646.5978999999998
Joel Embiid,CENTER,2646.13965
Mike Conley,POINT GUARD,2633.68345
Rudy Gobert,CENTER,2594.1491
Eric Bledsoe,POINT GUARD,2587.25385
Jamal Murray,POINT GUARD,2542.9969
Aaron Gordon,POWER FORWARD,2519.8419
Joe Ingles,POWER FORWARD,2506.30905
Devin Booker,SHOOTING GUARD,2474.8742
Pascal Siakam,POWER FORWARD,2454.1914
Kyle Lowry,POINT GUARD,2424.6881000000003
Anthony Davis,CENTER,2423.81985
CJ McCollum,SHOOTING GUARD,2416.19265
Reggie Jackson,POINT GUARD,2366.57735
Julius Randle,POWER FORWARD,2363.735
Kawhi Leonard,SMALL FORWARD,2344.7102999999997
Evan Fournier,SHOOTING GUARD,2304.8268
Bojan Bogdanović,SMALL FORWARD,2286.92065
Josh Richardson,SHOOTING GUARD,2286.2918
Jayson Tatum,SMALL FORWARD,2248.89735
Willie Cauley-Stein,CENTER,2247.2983
Clint Capela,CENTER,2241.1629000000003
J.J. Redick,SHOOTING GUARD,2234.8751
Steven Adams,CENTER,2224.40455
D.J. Augustin,POINT GUARD,2217.8108
Deandre Ayton,CENTER,2204.2354
Jusuf Nurkić,CENTER,2199.5785
Thaddeus Young,POWER FORWARD,2196.80345
Al Horford,CENTER,2179.53025
Kyle Kuzma,POWER FORWARD,2170.3423000000003
Danilo Gallinari,SMALL FORWARD,2166.1066499999997
Darren Collison,POINT GUARD,2165.6086999999998
Andrew Wiggins,SMALL FORWARD,2156.07465
Jeremy Lamb,SHOOTING GUARD,2152.5976
Chris Paul,POINT GUARD,2147.343
Zach LaVine,SHOOTING GUARD,2147.0087
Collin Sexton,POINT GUARD,2129.526
Lou Williams,SHOOTING GUARD,2114.9027
Dennis Schröder,POINT GUARD,2063.6304
Brook Lopez,CENTER,2038.78485
John Collins,POWER FORWARD,2029.37635
Bryn Forbes,SHOOTING GUARD,2021.1443
Jordan Clarkson,SHOOTING GUARD,2015.1069500000003
Joe Harris,SHOOTING GUARD,2012.54725
Serge Ibaka,CENTER,2006.2840999999999
Jerami Grant,POWER FORWARD,2002.4596000000001
Montrezl Harrell,CENTER,1998.6167999999998
Cedi Osman,SMALL FORWARD,1987.4718000000003
Terrence Ross,SHOOTING GUARD,1960.2280500000002
Myles Turner,CENTER,1959.2633500000002
Marcus Morris,POWER FORWARD,1954.2233999999999
Draymond Green,POWER FORWARD,1949.6963
Tobias Harris,POWER FORWARD,1948.46025
Hassan Whiteside,CENTER,1922.6131999999998
Tomáš Satoranský,POINT GUARD,1914.3195
Danny Green,SHOOTING GUARD,1911.7266
Domantas Sabonis,CENTER,1908.7514999999999
Al-Farouq Aminu,POWER FORWARD,1902.2084
Ricky Rubio,POINT GUARD,1902.161
Rudy Gay,POWER FORWARD,1895.5441499999997
Malcolm Brogdon,SHOOTING GUARD,1892.7507
Jarrett Allen,CENTER,1887.8316
Nicolas Batum,SMALL FORWARD,1862.56405
